"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17";"Q18";"Q19";"Q20";"Q21";"Q22";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"E18";"E19";"E20";"E21";"E22";"introelapse";"testelapse";"surveyelapse";"TIPI1";"TIPI2";"TIPI3";"TIPI4";"TIPI5";"TIPI6";"TIPI7";"TIPI8";"TIPI9";"TIPI10";"VCL1";"VCL2";"VCL3";"VCL4";"VCL5";"VCL6";"VCL7";"VCL8";"VCL9";"VCL10";"VCL11";"VCL12";"VCL13";"VCL14";"VCL15";"VCL16";"IP_country";"education";"urban";"gender";"engnat";"age";"screenw";"screenh";"hand";"religion";"orientation";"race";"voted";"married";"familysize";"surveyaccurate";"major";"extr";"neur";"amab";"cons";"aber";"rv";"auth"
"1";3;2;1;8;2;7;1;8;9;3;7;5;9;2;9;1;1;8;1;7;7;1;17948;5196;8944;4384;6543;10897;8321;3545;5480;9248;16104;5386;18258;3987;6478;5139;9265;14259;7735;5875;9603;6478;2;193;158;6;5;6;4;7;5;7;4;4;7;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;"US";4;1;1;1;62;768;1024;1;6;2;4;1;2;3;1;"History";5,5;6;4;5;7;14;97
"2";3;2;2;8;3;8;1;8;2;9;8;2;5;2;5;1;1;8;2;8;6;2;10178;5807;7656;5285;13141;11731;10132;5110;8920;7233;6597;23825;11144;5832;7296;3898;9482;5209;14653;8545;4809;8358;2;198;106;3;3;4;3;6;2;3;2;3;6;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;"US";2;3;1;1;29;1600;900;1;12;1;4;2;2;3;1;"English Literature";2,5;3;3;3;6;11;91
"3";1;1;1;9;1;5;1;9;9;1;9;1;9;1;9;1;1;9;1;9;9;1;10466;4679;7695;11316;85372;72880;21267;5936;11633;36918;11260;16242;10614;9496;18190;7781;16667;14101;9922;42845;68241;18804;7;515;541;2;5;5;7;2;5;4;1;5;7;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;"US";2;3;2;1;22;360;640;1;2;2;4;2;2;1;1;"Fine Art";3,5;4,5;6;3;4,5;11;96
"4";3;1;8;9;1;9;2;9;8;2;9;1;9;6;9;1;2;9;1;9;9;1;12502;3631;7320;3768;10160;12136;8657;11454;3689;4911;4800;3712;6280;6072;5104;4497;18927;4144;6112;5665;3639;13985;1;162;74;1;2;5;7;2;1;5;3;7;5;1;1;0;1;1;0;0;1;0;1;0;1;0;1;1;1;"US";2;2;2;1;18;1600;900;1;2;5;5;2;1;2;1;"psychology";1;3,5;7;4;3,5;10;114
"5";2;1;0;9;3;9;3;9;7;8;9;3;9;7;9;1;3;9;4;8;8;1;16750;13135;0;13392;21276;20352;28407;13858;18566;17680;12738;13666;19656;25182;17418;15457;20652;24772;26903;10879;14099;17813;32;388;358;2;3;2;6;3;3;6;3;6;7;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;"US";3;2;2;1;28;320;480;1;2;1;4;2;3;3;1;"Psychology";2,5;4,5;6;2,5;5;10;119
"6";5;2;2;8;5;7;7;8;4;6;7;7;7;7;4;2;7;8;6;7;2;7;9969;6485;19626;4829;8251;8937;8500;6485;8126;7797;11313;3891;16391;4922;11891;192616;9063;35798;7704;4078;8532;11344;1007;410;137;5;3;7;5;5;3;5;6;5;6;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;"US";4;1;2;1;26;1301;731;1;1;1;4;2;1;5;1;"earth science education";4;4;5;6,5;5,5;12;118
"7";3;1;5;9;3;8;5;7;9;4;9;6;7;6;8;3;5;9;1;9;9;2;16290;8460;14049;8000;20239;15026;18036;10744;8120;13354;9930;12581;13441;9167;10310;10234;27402;10051;10712;7467;6890;9291;5;275;181;2;6;6;6;4;2;6;5;4;6;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;"US";2;3;2;1;15;320;480;1;2;3;4;2;1;2;1;"";2;6;5;5,5;5;15;124
"8";6;1;1;9;3;9;4;8;6;2;9;3;9;4;8;1;1;9;3;8;9;3;13795;3484;5209;3301;8194;5189;6585;6964;3581;3813;2772;5482;3492;4567;5981;3040;4405;3589;6268;3651;4636;4233;8;114;111;1;2;6;6;3;1;3;3;3;3;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;"US";4;2;2;1;32;1366;768;1;12;3;4;1;1;2;1;"civil engineering";1;2,5;4,5;4,5;3;14;109
"9";2;1;1;9;2;9;1;9;9;1;9;1;9;1;7;1;1;9;1;9;8;1;9339;4417;5169;3399;8249;6203;11317;3218;3468;3666;6385;3283;6801;3319;12602;4600;10335;4817;8617;3652;3783;6483;10;134;94;2;7;7;2;7;1;2;5;1;7;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";4;2;1;1;44;1920;1200;1;2;1;4;1;2;5;1;"Biology";1,5;4,5;1,5;6;7;12;98
"10";3;2;5;4;4;5;3;2;7;7;4;8;2;3;4;5;3;6;3;3;3;6;11922;9949;11545;4957;9851;7927;11363;5343;6355;6218;7186;4888;7895;8522;8260;6248;9036;10865;7820;4440;6578;7437;3;176;108;6;5;6;2;6;2;6;6;2;6;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;"US";0;2;2;1;62;1280;800;1;4;1;4;2;3;2;1;"English";4;5,5;2;6;6;13;87
